KG1 lines of sight, obtained from drawing K09000100 Issue E dated 16/01/99 (20°-320°) -resampling using cubic interpolation A.Boboc 27/01/2014
Temperature R1 R2 R3 R4 R5 R6 R7 R8 Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 A1 A2 A3 A4 A5 A6 A7 A8 
deg.C m m m m m m m m m m m m m m m m rad rad rad rad rad rad rad rad 
106 1.8876 2.7002 3.0375 3.7339 3 3 3 3 0 0 0 0 -0.60914 -0.37362 -0.14681 0.18713 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
107 1.8876 2.7003 3.0375 3.7339 3 3 3 3 0 0 0 0 -0.60917 -0.37363 -0.14681 0.18714 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
108 1.8876 2.7003 3.0376 3.734 3 3 3 3 0 0 0 0 -0.60919 -0.37364 -0.14681 0.18715 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
109 1.8877 2.7003 3.0376 3.734 3 3 3 3 0 0 0 0 -0.60921 -0.37365 -0.14681 0.18716 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
110 1.8877 2.7003 3.0376 3.7341 3 3 3 3 0 0 0 0 -0.60923 -0.37366 -0.14681 0.18717 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
111 1.8877 2.7003 3.0377 3.7341 3 3 3 3 0 0 0 0 -0.60925 -0.37367 -0.14681 0.18719 1.5708 1.5705 -1.567 1.5708 0.3901 0.1681 -0.0389 -0.2437 
112 1.8877 2.7004 3.0377 3.7341 3 3 3 3 0 0 0 0 -0.60928 -0.37368 -0.14681 0.1872 1.5708 1.5705 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
113 1.8878 2.7004 3.0377 3.7342 3 3 3 3 0 0 0 0 -0.6093 -0.37369 -0.14681 0.18721 1.5708 1.5705 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
114 1.8878 2.7004 3.0377 3.7342 3 3 3 3 0 0 0 0 -0.60932 -0.3737 -0.14682 0.18722 1.5708 1.5705 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
115 1.8878 2.7004 3.0378 3.7343 3 3 3 3 0 0 0 0 -0.60934 -0.37371 -0.14682 0.18724 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
116 1.8878 2.7004 3.0378 3.7343 3 3 3 3 0 0 0 0 -0.60937 -0.37372 -0.14682 0.18725 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
117 1.8878 2.7004 3.0378 3.7344 3 3 3 3 0 0 0 0 -0.60939 -0.37373 -0.14682 0.18726 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
118 1.8879 2.7005 3.0378 3.7344 3 3 3 3 0 0 0 0 -0.60941 -0.37374 -0.14682 0.18727 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
119 1.8879 2.7005 3.0379 3.7345 3 3 3 3 0 0 0 0 -0.60943 -0.37375 -0.14682 0.18728 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
120 1.8879 2.7005 3.0379 3.7345 3 3 3 3 0 0 0 0 -0.60946 -0.37376 -0.14683 0.1873 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
121 1.8879 2.7005 3.0379 3.7345 3 3 3 3 0 0 0 0 -0.60948 -0.37377 -0.14683 0.18731 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
122 1.888 2.7005 3.0379 3.7346 3 3 3 3 0 0 0 0 -0.6095 -0.37378 -0.14683 0.18732 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
123 1.888 2.7005 3.038 3.7346 3 3 3 3 0 0 0 0 -0.60952 -0.3738 -0.14683 0.18733 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
124 1.888 2.7006 3.038 3.7347 3 3 3 3 0 0 0 0 -0.60955 -0.37381 -0.14683 0.18735 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
125 1.888 2.7006 3.038 3.7347 3 3 3 3 0 0 0 0 -0.60957 -0.37382 -0.14684 0.18736 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
126 1.8881 2.7006 3.038 3.7348 3 3 3 3 0 0 0 0 -0.60959 -0.37383 -0.14684 0.18737 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
127 1.8881 2.7006 3.0381 3.7348 3 3 3 3 0 0 0 0 -0.60961 -0.37384 -0.14684 0.18738 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
128 1.8881 2.7006 3.0381 3.7348 3 3 3 3 0 0 0 0 -0.60964 -0.37385 -0.14684 0.18739 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
129 1.8881 2.7006 3.0381 3.7349 3 3 3 3 0 0 0 0 -0.60966 -0.37386 -0.14684 0.18741 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
130 1.8882 2.7007 3.0381 3.7349 3 3 3 3 0 0 0 0 -0.60968 -0.37387 -0.14685 0.18742 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
131 1.8882 2.7007 3.0381 3.735 3 3 3 3 0 0 0 0 -0.60971 -0.37388 -0.14685 0.18743 1.5708 1.5704 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
132 1.8882 2.7007 3.0382 3.735 3 3 3 3 0 0 0 0 -0.60973 -0.37389 -0.14685 0.18744 1.5708 1.5703 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
133 1.8882 2.7007 3.0382 3.7351 3 3 3 3 0 0 0 0 -0.60975 -0.3739 -0.14685 0.18746 1.5708 1.5703 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
134 1.8882 2.7007 3.0382 3.7351 3 3 3 3 0 0 0 0 -0.60977 -0.37391 -0.14685 0.18747 1.5708 1.5703 -1.5671 1.5708 0.3901 0.1681 -0.0389 -0.2437 
135 1.8883 2.7007 3.0382 3.7351 3 3 3 3 0 0 0 0 -0.6098 -0.37392 -0.14685 0.18748 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
136 1.8883 2.7007 3.0383 3.7352 3 3 3 3 0 0 0 0 -0.60982 -0.37393 -0.14686 0.18749 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
137 1.8883 2.7008 3.0383 3.7352 3 3 3 3 0 0 0 0 -0.60984 -0.37394 -0.14686 0.18751 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
138 1.8883 2.7008 3.0383 3.7353 3 3 3 3 0 0 0 0 -0.60986 -0.37395 -0.14686 0.18752 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
139 1.8884 2.7008 3.0383 3.7353 3 3 3 3 0 0 0 0 -0.60989 -0.37396 -0.14686 0.18753 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
140 1.8884 2.7008 3.0383 3.7354 3 3 3 3 0 0 0 0 -0.60991 -0.37397 -0.14686 0.18754 1.5708 1.5703 -1.5672 1.5708 0.3901 0.1681 -0.0389 -0.2437 
